iter	MAE
0	3.482484844
1	3.356926909
2	3.237022242
3	3.122570857
4	3.013141462
5	2.915030516
6	2.820206734
7	2.738586135
8	2.686297407
9	2.611434623
10	2.535132115
11	2.466632626
12	2.412224604
13	2.369767693
14	2.311197
15	2.254288412
16	2.20521178
17	2.161499912
18	2.114664865
19	2.076611059
20	2.041322765
21	1.999235666
22	1.968219049
23	1.934165993
24	1.899411574
25	1.872724426
26	1.846754835
27	1.82486092
28	1.803426762
29	1.777660666
30	1.754236519
31	1.744973103
32	1.723891689
33	1.704743696
34	1.678628887
35	1.663875252
36	1.642084953
37	1.63072811
38	1.614736847
39	1.598011353
40	1.582743274
41	1.572702615
42	1.55957368
43	1.54643125
44	1.533573038
45	1.520773791
46	1.507965792
47	1.49642062
48	1.491873514
49	1.479015966
50	1.467525099
51	1.457646907
52	1.447061295
53	1.43878074
54	1.428367809
55	1.421587254
56	1.415354336
57	1.407855065
58	1.402454392
59	1.400223665
60	1.39205004
61	1.383703131
62	1.375528797
63	1.370681238
64	1.369474631
65	1.361210789
66	1.352559983
67	1.346922149
68	1.346208527
69	1.339868742
70	1.333345718
71	1.323087134
72	1.317779994
73	1.31461088
74	1.307202318
75	1.302259733
76	1.299860052
77	1.297183105
78	1.292271264
79	1.284972494
80	1.283880231
81	1.278969484
82	1.27321464
83	1.268497469
84	1.265064041
85	1.257949621
86	1.250524898
87	1.243997251
88	1.238777803
89	1.234124759
90	1.228994373
91	1.220352575
92	1.216648469
93	1.204499913
94	1.198986976
95	1.19330836
96	1.188185796
97	1.181419812
98	1.177939733
99	1.169738843
100	1.164019097
101	1.159697475
102	1.155827905
103	1.154682845
104	1.150104087
105	1.144996527
106	1.134973356
107	1.127599769
108	1.121018432
109	1.118569442
110	1.114199777
111	1.104269683
112	1.101651911
113	1.096904028
114	1.09258838
115	1.086454732
116	1.080307358
117	1.073442389
118	1.069588692
119	1.062559052
120	1.055545858
121	1.051587895
122	1.047254425
123	1.04207359
124	1.035371069
125	1.030490422
126	1.018858507
127	1.016330971
128	1.012225166
129	1.007335018
130	1.002728674
131	0.9996725262
132	0.9953289003
133	0.9910110199
134	0.9894819318
135	0.9838881203
136	0.9806597459
137	0.9757001183
138	0.9708131065
139	0.9670997764
