iter	Passed	Remaining
0	61	49309
1	64	25588
2	66	17558
3	67	13506
4	69	11048
5	71	9405
6	72	8242
7	73	7250
8	73	6459
9	74	5858
10	75	5432
11	77	5075
12	77	4716
13	78	4393
14	79	4169
15	81	3974
16	82	3803
17	83	3644
18	85	3498
19	86	3369
20	87	3256
21	89	3154
22	90	3050
23	91	2956
24	92	2867
25	93	2787
26	94	2714
27	95	2643
28	96	2568
29	97	2506
30	98	2451
31	99	2376
32	100	2326
33	101	2278
34	102	2231
35	102	2181
36	103	2140
37	104	2101
38	105	2063
39	106	2027
40	107	1992
41	108	1960
42	109	1929
43	110	1897
44	111	1869
45	112	1842
46	113	1814
47	114	1788
48	114	1752
49	115	1729
50	116	1706
51	117	1684
52	118	1664
53	118	1642
54	119	1622
55	120	1605
56	121	1587
57	122	1567
58	123	1550
59	123	1523
60	124	1508
61	125	1494
62	126	1478
63	127	1462
64	127	1441
65	128	1426
66	129	1413
67	130	1399
68	130	1378
69	130	1365
70	131	1352
71	132	1341
72	133	1329
73	134	1318
74	135	1307
75	136	1296
76	136	1286
77	137	1275
78	138	1266
79	139	1257
80	139	1242
81	140	1232
82	141	1224
83	142	1216
84	143	1206
85	144	1200
86	145	1191
87	146	1183
88	147	1175
89	147	1167
90	148	1158
91	149	1150
92	150	1143
93	151	1136
94	152	1129
95	153	1122
96	153	1115
97	154	1108
98	155	1102
99	156	1095
100	157	1088
101	158	1082
102	159	1076
103	159	1067
104	160	1065
105	161	1059
106	162	1053
107	163	1047
108	164	1041
109	164	1033
110	165	1027
111	166	1023
112	167	1018
113	168	1012
114	169	1007
115	170	1002
116	170	998
117	171	993
118	172	988
119	173	984
120	174	979
121	175	975
122	176	970
123	177	966
124	178	963
125	179	959
126	180	954
127	181	952
128	182	948
129	183	944
130	184	940
131	185	936
132	185	932
133	186	927
134	187	923
135	188	920
136	189	917
137	190	913
138	191	910
139	192	906
